Normal,Tumor
0.15275739148668482,0.37301119622863876
0.31463619207381,0.2905126694166176
0.17016145942545605,0.22038892162639953
0.3060914237785699,0.1803182086034178
0.2553994548123296,0.202121390689452
0.2662507863283707,0.23040659988214499
0.2982281400712937,0.22510312315851505
0.24564898301530716,0.011785503830288745
0.323547913608723,0.2292280494991161
0.12633675823023693,0.24160282852091927
0.18321451037953446,0.3641720683559222
0.46424827007758435,0.5050088391278728
0.20717131474103584,0.1962286387743076
0.30808345565107986,0.1561579257513259
0.2413503879219962,0.23924572775486153
0.294191654434892,0.2740129640542133
0.22761585237995385,0.29404832056570424
0.3626546445795764,0.28638774307601655
0.25655273642273013,0.33647613435474366
0.22871671209897254,0.21567472009428404
0.31075697211155373,0.12080141426045964
0.3478192493185154,0.26517383618149676
0.21267561333612914,0.2168532704773129
0.15841895575592368,0.15085444902769596
0.1651289578527993,0.18090748379493224
0.1811700566156427,0.33647613435474366
0.27039211574753613,0.3017088980553919
0.15370098553155798,0.18149675898644668
0.29770392115747535,0.1879787860931055
0.19364646676452085,0.1773718326458456
0.21288530090165653,0.2280494991160872
0.21346194170685678,0.3606364172068356
0.13262738519605785,0.1862109605185622
0.2899454812329629,0.2292280494991161
0.37429230446634515,0.27754861520329993
0.21409100440343887,0.2958161461402475
0.3006395470748584,0.26104890984089574
0.26960578737680857,0.2262816735415439
0.32160830362759485,0.22392457277548616
0.2913608723002726,0.21921037124337067
0.3117005661564269,0.19681791396582204
0.31238205074439085,0.21862109605185623
0.10348081358775424,0.29935179728933414
0.1915495911092472,0.0
0.20030404697001467,0.2639952857984679
0.31741455231704757,0.2687094873305834
0.18677919899349968,0.0
0.4245648983015307,0.2480848556275781
0.25110085971901863,0.20271066588096642
0.18415810442440764,0.19858573954036537
0.22798280561962672,0.23865645256334708
0.3023694694904592,0.19799646434885093
0.24271335709792405,0.29169121979964646
0.22163975676242398,0.23629935179728936
0.1775005242189138,0.0
0.23165233801635562,0.24337065409546257
0.20119521912350596,0.1314083677077195
0.27951352484797654,0.34060106069534474
0.1626651289578528,0.03653506187389511
0.30472845460264203,0.2309958750736594
0.310023065632208,0.26988803771361225
0.3325120570350178,0.1991750147318798
0.35479136087230023,0.3252799057159694
0.2114699098343468,0.09781968179139659
0.25477039211574753,0.24337065409546257
0.15422520444537638,0.18856806128461992
0.2915181379744181,0.2987625220978197
0.22824491507653596,0.17383618149675897
0.17220591318934786,0.5274012964054213
0.10400503250157264,0.1390689451974072
0.29833298385405743,0.22274602239245728
0.19542881107150345,0.1879787860931055
0.2801425875445586,0.29522687094873307
0.21797022436569508,0.2822628167354155
0.2728559446424827,0.23158515026517384
0.13414762004613126,0.32233352975839713
0.26682742713357094,0.18090748379493224
0.3592472216397567,0.20447849145550973
0.2717026630320822,0.1567472009428403
0.2551373453554204,0.202121390689452
0.17807716502411405,0.1991750147318798
0.20182428182008805,0.19210371243370655
0.1957433424197945,0.6823806717737184
0.20575592367372614,0.23629935179728936
0.3099182218494443,0.3064230995875074
0.24790312434472633,0.2262816735415439
0.217341161669113,0.22687094873305835
0.12733277416649194,0.20329994107248087
0.28517508911721534,0.1373011196228639
0.17708114908785907,0.06423099587507367
0.14305934158104425,0.17147908073070126
0.14132941916544348,0.21449616971125518
0.3061438456699518,0.1850324101355333
0.1791256028517509,0.2068355922215675
0.20769553365485424,0.26753093694755453
0.27704969595303,0.1991750147318798
0.3525896414342629,0.30583382439599294
0.2660410987628434,0.20624631703005306
0.2325435101698469,0.0394814378314673
0.18421052631578946,0.26458456098998234
0.14153910673097087,0.07542722451384798
0.23081358775424615,0.2793164407778433
0.24570140490668899,0.14908662345315263
0.22190186621933317,0.2887448438420743
0.3000629062696582,0.21331761932822632
0.20318725099601592,0.22215674720094286
0.20937303417907316,0.17030053034767237
0.2369469490459216,0.21626399528579845
